mentions,,,non-mentions,,,,,,,,,,,,,,,
' : '',1,3.69E-05,' : CC,1,3.90E-06,,,,,,,,,,,,,
' : :,1,3.69E-05,' : NNP,1,3.90E-06,,,,,,,,,,,,,
' : CD,1,3.69E-05,' : VBG,1,3.90E-06,,,,,,,,,,,,,
' : POS,1,3.69E-05,' : VBN,1,3.90E-06,,,,,,,,,,,,,
$ : JJ,1,3.69E-05,$ : $,2,7.79E-06,,,,,,,,,,,,,
$ : NN,2,7.38E-05,$ : CC,1,3.90E-06,,,,,,,,,,,,,
$ : NNP,3,0.000110734,$ : CD,4,1.56E-05,,,,,,,,,,,,,
( : ),54,0.001993208,$ : IN,2,7.79E-06,,,,,,,,,,,,,
"( : ,",31,0.001144249,$ : JJ,1,3.90E-06,,,,,,,,,,,,,
( : .,1,3.69E-05,$ : JJS,1,3.90E-06,,,,,,,,,,,,,
( : :,153,0.005647424,$ : NN,2,7.79E-06,,,,,,,,,,,,,
( : CC,10,0.000369113,$ : NNP,31,0.000120751,,,,,,,,,,,,,
( : CD,5,0.000184556,$ : NONE,2,7.79E-06,,,,,,,,,,,,,
( : IN,13,0.000479846,$ : PRP,1,3.90E-06,,,,,,,,,,,,,
( : NN,14,0.000516758,$ : VBD,4,1.56E-05,,,,,,,,,,,,,
( : NNP,52,0.001919386,$ : VBN,1,3.90E-06,,,,,,,,,,,,,
( : RB,1,3.69E-05,$ : VBZ,2,7.79E-06,,,,,,,,,,,,,
( : TO,2,7.38E-05,( : $,4,1.56E-05,,,,,,,,,,,,,
( : VBD,2,7.38E-05,( : ),16,6.23E-05,,,,,,,,,,,,,
( : VBN,1,3.69E-05,"( : ,",6,2.34E-05,,,,,,,,,,,,,
( : VBP,5,0.000184556,( : :,22,8.57E-05,,,,,,,,,,,,,
( : VBZ,9,0.000332201,( : CC,7,2.73E-05,,,,,,,,,,,,,
") : ,",1,3.69E-05,( : CD,5,1.95E-05,,,,,,,,,,,,,
) : VBN,1,3.69E-05,( : DT,2,7.79E-06,,,,,,,,,,,,,
", : (",1,3.69E-05,( : IN,1,3.90E-06,,,,,,,,,,,,,
", : )",21,0.000775137,( : JJ,1,3.90E-06,,,,,,,,,,,,,
", : ,",1030,0.038018603,( : MD,1,3.90E-06,,,,,,,,,,,,,
", : .",350,0.012918943,( : NN,12,4.67E-05,,,,,,,,,,,,,
", : :",19,0.000701314,( : NNP,15,5.84E-05,,,,,,,,,,,,,
", : CC",251,0.009264728,( : NNS,1,3.90E-06,,,,,,,,,,,,,
", : DT",2,7.38E-05,( : RB,8,3.12E-05,,,,,,,,,,,,,
", : IN",44,0.001624096,( : VB,1,3.90E-06,,,,,,,,,,,,,
", : JJ",3,0.000110734,( : VBD,13,5.06E-05,,,,,,,,,,,,,
", : NN",12,0.000442935,( : VBN,10,3.90E-05,,,,,,,,,,,,,
", : NNP",48,0.001771741,( : VBP,1,3.90E-06,,,,,,,,,,,,,
", : NONE",2,7.38E-05,( : VBZ,23,8.96E-05,,,,,,,,,,,,,
", : POS",6,0.000221468,) : $,3,1.17E-05,,,,,,,,,,,,,
", : RB",3,0.000110734,) : (,1,3.90E-06,,,,,,,,,,,,,
", : TO",3,0.000110734,) : CC,3,1.17E-05,,,,,,,,,,,,,
", : VBD",13,0.000479846,) : CD,34,0.000132436,,,,,,,,,,,,,
", : VBG",3,0.000110734,) : DT,303,0.001180242,,,,,,,,,,,,,
", : VBN",1,3.69E-05,) : IN,18,7.01E-05,,,,,,,,,,,,,
", : VBP",4,0.000147645,) : JJ,8,3.12E-05,,,,,,,,,,,,,
", : VBZ",8,0.00029529,) : JJS,1,3.90E-06,,,,,,,,,,,,,
", : WDT",2,7.38E-05,) : NN,6,2.34E-05,,,,,,,,,,,,,
", : WP",1,3.69E-05,) : NNP,60,0.000233711,,,,,,,,,,,,,
", : WP$",1,3.69E-05,) : NNPS,1,3.90E-06,,,,,,,,,,,,,
". : ,",9,0.000332201,) : NNS,1,3.90E-06,,,,,,,,,,,,,
. : CC,6,0.000221468,) : NONE,2,7.79E-06,,,,,,,,,,,,,
. : IN,2,7.38E-05,) : PRP,1,3.90E-06,,,,,,,,,,,,,
. : JJ,1,3.69E-05,) : PRP$,4,1.56E-05,,,,,,,,,,,,,
. : NN,3,0.000110734,) : RB,3,1.17E-05,,,,,,,,,,,,,
. : NNP,3,0.000110734,) : RBR,1,3.90E-06,,,,,,,,,,,,,
. : NNS,2,7.38E-05,) : TO,3,1.17E-05,,,,,,,,,,,,,
. : POS,2,7.38E-05,) : VB,7,2.73E-05,,,,,,,,,,,,,
. : RB,3,0.000110734,) : VBD,5,1.95E-05,,,,,,,,,,,,,
. : VBD,15,0.000553669,) : VBG,7,2.73E-05,,,,,,,,,,,,,
. : VBG,1,3.69E-05,) : VBN,6,2.34E-05,,,,,,,,,,,,,
. : VBZ,20,0.000738225,) : VBP,3,1.17E-05,,,,,,,,,,,,,
: : ),2,7.38E-05,) : VBZ,1,3.90E-06,,,,,,,,,,,,,
": : ,",18,0.000664403,) : WDT,2,7.79E-06,,,,,,,,,,,,,
: : :,78,0.002879079,) : WP,2,7.79E-06,,,,,,,,,,,,,
: : CC,6,0.000221468,", : $",1,3.90E-06,,,,,,,,,,,,,
: : JJ,5,0.000184556,", : (",35,0.000136332,,,,,,,,,,,,,
: : MD,2,7.38E-05,", : )",12,4.67E-05,,,,,,,,,,,,,
: : NN,14,0.000516758,", : ,",12,4.67E-05,,,,,,,,,,,,,
: : NNP,3,0.000110734,", : .",2,7.79E-06,,,,,,,,,,,,,
: : NNS,1,3.69E-05,", : :",7,2.73E-05,,,,,,,,,,,,,
: : NONE,2,7.38E-05,", : CC",110,0.000428471,,,,,,,,,,,,,
: : POS,1,3.69E-05,", : CD",108,0.00042068,,,,,,,,,,,,,
: : RB,1,3.69E-05,", : DT",591,0.002302056,,,,,,,,,,,,,
: : VBD,1,3.69E-05,", : EX",1,3.90E-06,,,,,,,,,,,,,
: : VBP,2,7.38E-05,", : FW",5,1.95E-05,,,,,,,,,,,,,
: : VBZ,4,0.000147645,", : IN",654,0.002547453,,,,,,,,,,,,,
CC : (,7,0.000258379,", : JJ",263,0.001024435,,,,,,,,,,,,,
CC : ),10,0.000369113,", : JJR",6,2.34E-05,,,,,,,,,,,,,
"CC : ,",314,0.011590137,", : JJS",24,9.35E-05,,,,,,,,,,,,,
CC : .,576,0.021260889,", : MD",7,2.73E-05,,,,,,,,,,,,,
CC : :,26,0.000959693,", : NN",472,0.001838529,,,,,,,,,,,,,
CC : CC,58,0.002140853,", : NNP",950,0.003700429,,,,,,,,,,,,,
CC : CD,2,7.38E-05,", : NNPS",6,2.34E-05,,,,,,,,,,,,,
CC : DT,5,0.000184556,", : NNS",66,0.000257082,,,,,,,,,,,,,
CC : IN,233,0.008600325,", : NONE",19,7.40E-05,,,,,,,,,,,,,
CC : JJ,6,0.000221468,", : PRP",133,0.00051806,,,,,,,,,,,,,
CC : MD,2,7.38E-05,", : PRP$",86,0.000334986,,,,,,,,,,,,,
CC : NN,95,0.00350657,", : RB",165,0.000642706,,,,,,,,,,,,,
CC : NNP,133,0.004909198,", : RBS",6,2.34E-05,,,,,,,,,,,,,
CC : NNPS,4,0.000147645,", : RP",3,1.17E-05,,,,,,,,,,,,,
CC : NNS,85,0.003137458,", : TO",50,0.000194759,,,,,,,,,,,,,
CC : POS,18,0.000664403,", : VB",14,5.45E-05,,,,,,,,,,,,,
CC : PRP,3,0.000110734,", : VBD",497,0.001935909,,,,,,,,,,,,,
CC : PRP$,1,3.69E-05,", : VBG",38,0.000148017,,,,,,,,,,,,,
CC : RB,2,7.38E-05,", : VBN",119,0.000463527,,,,,,,,,,,,,
CC : RBS,1,3.69E-05,", : VBP",26,0.000101275,,,,,,,,,,,,,
CC : TO,30,0.001107338,", : VBZ",229,0.000891998,,,,,,,,,,,,,
CC : VB,3,0.000110734,", : WDT",30,0.000116856,,,,,,,,,,,,,
CC : VBD,58,0.002140853,", : WP",22,8.57E-05,,,,,,,,,,,,,
CC : VBG,5,0.000184556,", : WP$",2,7.79E-06,,,,,,,,,,,,,
CC : VBN,2,7.38E-05,", : WRB",3,1.17E-05,,,,,,,,,,,,,
CC : VBP,70,0.002583789,. : .,1,3.90E-06,,,,,,,,,,,,,
CC : VBZ,7,0.000258379,. : CC,21,8.18E-05,,,,,,,,,,,,,
CC : WDT,9,0.000332201,. : CD,98,0.000381728,,,,,,,,,,,,,
CC : WP,6,0.000221468,. : DT,163,0.000634916,,,,,,,,,,,,,
CD : $,2,7.38E-05,. : EX,5,1.95E-05,,,,,,,,,,,,,
CD : (,1,3.69E-05,. : IN,168,0.000654392,,,,,,,,,,,,,
CD : ),5,0.000184556,. : JJ,309,0.001203613,,,,,,,,,,,,,
"CD : ,",56,0.002067031,. : JJR,4,1.56E-05,,,,,,,,,,,,,
CD : .,34,0.001254983,. : JJS,9,3.51E-05,,,,,,,,,,,,,
CD : :,9,0.000332201,. : MD,8,3.12E-05,,,,,,,,,,,,,
CD : CC,26,0.000959693,. : NN,645,0.002512396,,,,,,,,,,,,,
CD : CD,5,0.000184556,. : NNP,201,0.000782933,,,,,,,,,,,,,
CD : DT,1,3.69E-05,. : NNPS,8,3.12E-05,,,,,,,,,,,,,
CD : IN,53,0.001956297,. : NNS,132,0.000514165,,,,,,,,,,,,,
CD : JJ,12,0.000442935,. : NONE,4,1.56E-05,,,,,,,,,,,,,
CD : NN,51,0.001882475,. : PRP,27,0.00010517,,,,,,,,,,,,,
CD : NNP,38,0.001402628,. : PRP$,41,0.000159703,,,,,,,,,,,,,
CD : NNPS,1,3.69E-05,. : RB,52,0.00020255,,,,,,,,,,,,,
CD : NNS,22,0.000812048,. : RBR,1,3.90E-06,,,,,,,,,,,,,
CD : POS,2,7.38E-05,. : RBS,1,3.90E-06,,,,,,,,,,,,,
CD : TO,2,7.38E-05,. : TO,42,0.000163598,,,,,,,,,,,,,
CD : VBD,33,0.001218072,. : VB,2,7.79E-06,,,,,,,,,,,,,
CD : VBG,1,3.69E-05,. : VBD,630,0.002453969,,,,,,,,,,,,,
CD : VBN,5,0.000184556,. : VBG,14,5.45E-05,,,,,,,,,,,,,
CD : VBP,2,7.38E-05,. : VBN,14,5.45E-05,,,,,,,,,,,,,
CD : VBZ,6,0.000221468,. : VBP,45,0.000175283,,,,,,,,,,,,,
CD : WDT,3,0.000110734,. : VBZ,653,0.002543558,,,,,,,,,,,,,
CD : WP,3,0.000110734,. : WRB,1,3.90E-06,,,,,,,,,,,,,
DT : $,1,3.69E-05,: : $,2,7.79E-06,,,,,,,,,,,,,
DT : (,17,0.000627492,: : (,1,3.90E-06,,,,,,,,,,,,,
DT : ),12,0.000442935,: : ),24,9.35E-05,,,,,,,,,,,,,
"DT : ,",931,0.034364388,": : ,",8,3.12E-05,,,,,,,,,,,,,
DT : .,1166,0.043038535,: : :,69,0.000268768,,,,,,,,,,,,,
DT : :,49,0.001808652,: : CC,13,5.06E-05,,,,,,,,,,,,,
DT : CC,479,0.017680496,: : CD,43,0.000167493,,,,,,,,,,,,,
DT : CD,14,0.000516758,: : DT,24,9.35E-05,,,,,,,,,,,,,
DT : DT,10,0.000369113,: : EX,4,1.56E-05,,,,,,,,,,,,,
DT : IN,1456,0.053742802,: : FW,3,1.17E-05,,,,,,,,,,,,,
DT : JJ,141,0.005204488,: : IN,47,0.000183074,,,,,,,,,,,,,
DT : MD,10,0.000369113,: : JJ,25,9.74E-05,,,,,,,,,,,,,
DT : NN,1125,0.041525173,: : JJS,2,7.79E-06,,,,,,,,,,,,,
DT : NNP,394,0.014543039,: : MD,3,1.17E-05,,,,,,,,,,,,,
DT : NNS,57,0.002103942,: : NN,87,0.000338881,,,,,,,,,,,,,
DT : NONE,1,3.69E-05,: : NNP,161,0.000627125,,,,,,,,,,,,,
DT : POS,32,0.00118116,: : NNPS,1,3.90E-06,,,,,,,,,,,,,
DT : PRP,11,0.000406024,: : NNS,11,4.28E-05,,,,,,,,,,,,,
DT : RB,26,0.000959693,: : NONE,5,1.95E-05,,,,,,,,,,,,,
DT : RP,1,3.69E-05,: : PDT,1,3.90E-06,,,,,,,,,,,,,
DT : TO,59,0.002177765,: : PRP,4,1.56E-05,,,,,,,,,,,,,
DT : VB,5,0.000184556,: : PRP$,7,2.73E-05,,,,,,,,,,,,,
DT : VBD,146,0.005389045,: : RB,19,7.40E-05,,,,,,,,,,,,,
DT : VBG,27,0.000996604,: : TO,2,7.79E-06,,,,,,,,,,,,,
DT : VBN,92,0.003395836,: : VB,8,3.12E-05,,,,,,,,,,,,,
DT : VBP,31,0.001144249,: : VBD,52,0.00020255,,,,,,,,,,,,,
DT : VBZ,55,0.00203012,: : VBG,1,3.90E-06,,,,,,,,,,,,,
DT : WDT,57,0.002103942,: : VBN,6,2.34E-05,,,,,,,,,,,,,
DT : WP,39,0.001439539,: : VBP,14,5.45E-05,,,,,,,,,,,,,
DT : WP$,1,3.69E-05,: : VBZ,69,0.000268768,,,,,,,,,,,,,
DT : WRB,11,0.000406024,: : WP,2,7.79E-06,,,,,,,,,,,,,
FW : ),2,7.38E-05,CC : $,3,1.17E-05,,,,,,,,,,,,,
"FW : ,",1,3.69E-05,CC : (,23,8.96E-05,,,,,,,,,,,,,
FW : CC,1,3.69E-05,CC : ),17,6.62E-05,,,,,,,,,,,,,
FW : FW,1,3.69E-05,"CC : ,",7,2.73E-05,,,,,,,,,,,,,
FW : NN,2,7.38E-05,CC : .,2,7.79E-06,,,,,,,,,,,,,
FW : NNP,1,3.69E-05,CC : :,9,3.51E-05,,,,,,,,,,,,,
IN : $,1,3.69E-05,CC : CC,140,0.000545326,,,,,,,,,,,,,
IN : (,18,0.000664403,CC : CD,160,0.00062323,,,,,,,,,,,,,
IN : ),42,0.001550273,CC : DT,642,0.002500711,,,,,,,,,,,,,
"IN : ,",2502,0.092351986,CC : EX,8,3.12E-05,,,,,,,,,,,,,
IN : .,1797,0.066329544,CC : FW,4,1.56E-05,,,,,,,,,,,,,
IN : :,68,0.002509966,CC : IN,1248,0.004861195,,,,,,,,,,,,,
IN : CC,984,0.036320685,CC : JJ,676,0.002633147,,,,,,,,,,,,,
IN : CD,10,0.000369113,CC : JJR,26,0.000101275,,,,,,,,,,,,,
IN : DT,17,0.000627492,CC : JJS,37,0.000144122,,,,,,,,,,,,,
IN : FW,6,0.000221468,CC : MD,27,0.00010517,,,,,,,,,,,,,
IN : IN,991,0.036579064,CC : NN,1473,0.005737612,,,,,,,,,,,,,
IN : JJ,28,0.001033515,CC : NNP,1564,0.006092074,,,,,,,,,,,,,
IN : JJS,1,3.69E-05,CC : NNPS,21,8.18E-05,,,,,,,,,,,,,
IN : MD,6,0.000221468,CC : NNS,387,0.001507438,,,,,,,,,,,,,
IN : NN,246,0.009080171,CC : NONE,157,0.000611545,,,,,,,,,,,,,
IN : NNP,371,0.013694079,CC : PRP,229,0.000891998,,,,,,,,,,,,,
IN : NNS,38,0.001402628,CC : PRP$,97,0.000377833,,,,,,,,,,,,,
IN : NONE,2,7.38E-05,CC : RB,261,0.001016644,,,,,,,,,,,,,
IN : POS,191,0.007050052,CC : RBR,2,7.79E-06,,,,,,,,,,,,,
IN : PRP,12,0.000442935,CC : RBS,35,0.000136332,,,,,,,,,,,,,
IN : RB,28,0.001033515,CC : RP,17,6.62E-05,,,,,,,,,,,,,
IN : RBR,1,3.69E-05,CC : TO,121,0.000471318,,,,,,,,,,,,,
IN : TO,98,0.003617304,CC : VB,60,0.000233711,,,,,,,,,,,,,
IN : VB,1,3.69E-05,CC : VBD,327,0.001273727,,,,,,,,,,,,,
IN : VBD,114,0.004207884,CC : VBG,79,0.00030772,,,,,,,,,,,,,
IN : VBG,20,0.000738225,CC : VBN,308,0.001199718,,,,,,,,,,,,,
IN : VBN,24,0.00088587,CC : VBP,127,0.000494689,,,,,,,,,,,,,
IN : VBP,26,0.000959693,CC : VBZ,143,0.000557012,,,,,,,,,,,,,
IN : VBZ,33,0.001218072,CC : WDT,14,5.45E-05,,,,,,,,,,,,,
IN : WDT,39,0.001439539,CC : WP,53,0.000206445,,,,,,,,,,,,,
IN : WP,23,0.000848959,CC : WP$,6,2.34E-05,,,,,,,,,,,,,
IN : WP$,4,0.000147645,CC : WRB,7,2.73E-05,,,,,,,,,,,,,
IN : WRB,9,0.000332201,CD : '',1,3.90E-06,,,,,,,,,,,,,
JJ : (,3,0.000110734,CD : $,2,7.79E-06,,,,,,,,,,,,,
JJ : ),14,0.000516758,CD : (,7,2.73E-05,,,,,,,,,,,,,
"JJ : ,",276,0.010187509,CD : ),1,3.90E-06,,,,,,,,,,,,,
JJ : .,292,0.010778089,"CD : ,",3,1.17E-05,,,,,,,,,,,,,
JJ : :,31,0.001144249,CD : .,1,3.90E-06,,,,,,,,,,,,,
JJ : CC,122,0.004503174,CD : :,8,3.12E-05,,,,,,,,,,,,,
JJ : CD,1,3.69E-05,CD : CC,184,0.000716715,,,,,,,,,,,,,
JJ : DT,2,7.38E-05,CD : CD,2644,0.010298878,,,,,,,,,,,,,
JJ : IN,262,0.009670752,CD : DT,2233,0.008697955,,,,,,,,,,,,,
JJ : JJ,22,0.000812048,CD : EX,4,1.56E-05,,,,,,,,,,,,,
JJ : JJS,1,3.69E-05,CD : FW,8,3.12E-05,,,,,,,,,,,,,
JJ : MD,5,0.000184556,CD : IN,968,0.003770542,,,,,,,,,,,,,
JJ : NN,396,0.014616861,CD : JJ,341,0.001328259,,,,,,,,,,,,,
JJ : NNP,242,0.008932526,CD : JJR,26,0.000101275,,,,,,,,,,,,,
JJ : NNS,29,0.001070427,CD : JJS,14,5.45E-05,,,,,,,,,,,,,
JJ : POS,11,0.000406024,CD : MD,5,1.95E-05,,,,,,,,,,,,,
JJ : PRP,1,3.69E-05,CD : NN,736,0.002866859,,,,,,,,,,,,,
JJ : PRP$,1,3.69E-05,CD : NNP,1478,0.005757088,,,,,,,,,,,,,
JJ : RB,5,0.000184556,CD : NNPS,16,6.23E-05,,,,,,,,,,,,,
JJ : TO,24,0.00088587,CD : NNS,329,0.001281517,,,,,,,,,,,,,
JJ : VBD,54,0.001993208,CD : NONE,248,0.000966007,,,,,,,,,,,,,
JJ : VBG,10,0.000369113,CD : PRP,214,0.00083357,,,,,,,,,,,,,
JJ : VBN,26,0.000959693,CD : PRP$,217,0.000845256,,,,,,,,,,,,,
JJ : VBP,14,0.000516758,CD : RB,245,0.000954321,,,,,,,,,,,,,
JJ : VBZ,17,0.000627492,CD : RBR,2,7.79E-06,,,,,,,,,,,,,
JJ : WDT,12,0.000442935,CD : RBS,5,1.95E-05,,,,,,,,,,,,,
JJ : WP,24,0.00088587,CD : RP,1,3.90E-06,,,,,,,,,,,,,
JJ : WP$,2,7.38E-05,CD : TO,103,0.000401204,,,,,,,,,,,,,
"JJR : ,",2,7.38E-05,CD : VB,42,0.000163598,,,,,,,,,,,,,
JJR : .,3,0.000110734,CD : VBD,941,0.003665372,,,,,,,,,,,,,
JJR : FW,1,3.69E-05,CD : VBG,116,0.000451842,,,,,,,,,,,,,
JJR : IN,6,0.000221468,CD : VBN,219,0.000853046,,,,,,,,,,,,,
JJR : NN,3,0.000110734,CD : VBP,75,0.000292139,,,,,,,,,,,,,
JJR : NNS,1,3.69E-05,CD : VBZ,350,0.001363316,,,,,,,,,,,,,
JJR : VBZ,1,3.69E-05,CD : WDT,38,0.000148017,,,,,,,,,,,,,
"JJS : ,",1,3.69E-05,CD : WP,15,5.84E-05,,,,,,,,,,,,,
JJS : .,3,0.000110734,CD : WP$,1,3.90E-06,,,,,,,,,,,,,
JJS : CC,1,3.69E-05,CD : WRB,17,6.62E-05,,,,,,,,,,,,,
JJS : IN,9,0.000332201,DT : (,30,0.000116856,,,,,,,,,,,,,
JJS : NN,5,0.000184556,DT : ),1,3.90E-06,,,,,,,,,,,,,
JJS : VBN,1,3.69E-05,"DT : ,",5,1.95E-05,,,,,,,,,,,,,
MD : IN,2,7.38E-05,DT : .,7,2.73E-05,,,,,,,,,,,,,
NN : (,3,0.000110734,DT : :,9,3.51E-05,,,,,,,,,,,,,
NN : ),3,0.000110734,DT : CC,821,0.00319795,,,,,,,,,,,,,
"NN : ,",406,0.014985974,DT : CD,237,0.00092316,,,,,,,,,,,,,
NN : .,322,0.011885427,DT : DT,337,0.001312678,,,,,,,,,,,,,
NN : :,12,0.000442935,DT : EX,6,2.34E-05,,,,,,,,,,,,,
NN : CC,108,0.003986417,DT : FW,12,4.67E-05,,,,,,,,,,,,,
NN : DT,3,0.000110734,DT : IN,6440,0.025085012,,,,,,,,,,,,,
NN : IN,149,0.005499779,DT : JJ,1068,0.004160061,,,,,,,,,,,,,
NN : JJ,5,0.000184556,DT : JJR,12,4.67E-05,,,,,,,,,,,,,
